Tilltalsnamn,Antal bärare
ABDULIE,2
ABDULILAH,30
ABDULJABAR,14
ABDULJABBAR,24
ABDULJALEEL,2
ABDULJALIL,22
ABDULJAWAD,12
ABDULKAADIR,3
ABDULKABIR,2
ABDULKADER,331
ABDULKADIR,566
ABDUL-KADIR,2
ABDULKAFI,7
ABDULKAHAR,3
ABDULKAMIL,2
ABDULKANI,4
ABDULKAREEM,62
ABDUL-KAREEM,2
ABDULKAREM,12
ABDULKARIM,344
ABDUL-KARIM,12
ABDULKAZEM,2
ABDULKERIM,41
ABDUL-KERIM,2
ABDULKHADER,6
ABDULKHADIR,8
ABDULKHALEGH,2
ABDULKHALEK,12
ABDUL-KHALEK,2
ABDULKHALEQ,8
ABDULKHALIK,9
ABDULKHALIQ,14
ABDULKHALK,2
ABDULKRIM,2
ABDULL,24
ABDULLA,347
ABDULLAA,2
ABDULLAAH,2
ABDULLAAHI,24
ABDULLAH,2819
ABDULLAHAD,5
ABDULLAHAT,2
ABDULLAHEL,2
ABDULLAHI,1524
ABDULLAHI HASSAN,2
ABDULLALI,2
ABDULLATEEF,3
ABDULLATEF,5
ABDULLATIF,114
ABDUL-LATIF,3
ABDULLAZIZ,10
ABDULLE,8
ABDULLH,4
ABDULLHA,4
ABDULLHADI,3
ABDULLHAMID,3
ABDULLKADIR,3
ABDULLKARIM,5
ABDULLNASER,3
ABDULLO,3
ABDULLOH,19
ABDULLOKH,7
ABDULLRAHIM,2
ABDULLRAHMAN,27
ABDULLRHMAN,4
ABDULLSALAM,2
ABDULMAAJID,2
ABDULMAGID,2
ABDULMAHDI,8
ABDULMAJED,14
ABDULMAJEED,13
ABDULMAJID,74
ABDULMALAK,3
ABDULMALEK,57
ABDULMALIK,35
ABDUL-MALIK,9
ABDULMALK,2
ABDULMANAN,9
ABDULMANNAN,12
ABDULMASEEH,3
ABDULMASEH,4
ABDULMASIH,49
ABDULMASSIH,5
ABDULMATIN,3
ABDULMAWLA,3
ABDULMECIT,5
ABDULMEHDI,2
ABDULMELIK,8
ABDULMENAF,2
ABDULMENEM,2
ABDULMESIH,9
ABDULMJID,2
ABDULMOHAIMEN,6
ABDULMOHSEN,5
ABDULMOHSIN,4
ABDULMOIN,3
ABDULMOLA,2
ABDULMONEM,11
ABDULMOTALEB,2
ABDULMOUMEN,2
ABDULMOUNEM,6
ABDULMUAIN,4
ABDULMUEEN,2
ABDULMUIN,2
ABDULMUIZ,3
ABDULMUIZZ,2
ABDULMUJIB,2
ABDULMUNEM,16
ABDULMUNIM,2
ABDULMUTALEB,2
ABDULMUTI,3
ABDULMUTTALIP,3
ABDULNABI,3
ABDULNAFEH,2
ABDULNASER,53
ABDULNASIR,12
ABDULNASSER,23
ABDUL-NASSER,2
ABDULNASSIR,2
ABDULNOOR,3
ABDULNOUR,9
ABDULQAADIR,5
ABDULQADER,48
ABDULQADIR,106
ABDULQAHAR,2
ABDULQALIQ,2
ABDULQANI,8
ABDULQAYOOM,2
ABDULRAHAMAN,2
ABDULRAHEEM,13
ABDULRAHEM,7
ABDULRAHIIM,2
ABDULRAHIM,106
ABDULRAHMAN,1243
ABDUL-RAHMAN,15
ABDULRAHMEN,2
ABDUL-RAKHMAN,2
ABDULRAMAN,2
ABDULRAOOF,5
ABDULRAOUF,21
ABDULRASHID,5
ABDULRAUF,10
ABDULRAZAGH,3
ABDULRAZAK,98
ABDULRAZAQ,20
ABDULRAZIK,2
ABDULRAZIQ,2
ABDULRAZZAK,43
ABDULRAZZAQ,32
ABDULREDHA,2
ABDULREHMAN,5
ABDULREZA,5
ABDULREZAK,6
ABDULREZAQ,2
ABDULRHMAN,50
ABDULRIDHA,7
ABDULRIZAK,4
ABDULRUHMAN,4
ABDULRZAK,4
ABDULSABOOR,2
ABDULSAHIB,6
ABDULSALAM,142
ABDUL-SALAM,3
ABDULSAMAD,19
ABDULSAMEA,2
ABDULSAMED,8
ABDULSAMEEA,2
ABDULSAMET,5
ABDULSAMI,4
ABDULSAMIE,2
ABDULSATAR,18
ABDULSATER,3
ABDULSATTAR,39
ABDUL-SATTAR,2
ABDULSELAM,5
ABDULSHAKOR,2
ABDULSHAKUR,2
ABDULVAHAP,8
ABDULVAHED,2
ABDULWADOD,2
ABDULWADOUD,3
ABDULWADUD,4
ABDULWAHAB,104
ABDULWAHED,15
ABDULWAHHAB,7
ABDULWAHID,25
ABDULWAKEEL,2
ABDULWAKIL,2
ABDULWALI,5
ABDULWASE,2
ABDULWASI,4
ABDULWASIE,3
ABDULWHAB,3
ABDULZAHER,3
ABDULZAHRA,3
ABDUMAJID,3
ABDUMALIK,4
ABDUMUTAL,2
ABDUN,2
ABDUNASER,2
ABDUNASIR,2
ABDUNOSIR,2
ABDUQAADIR,2
ABDUQADIR,35
ABDUR,34
ABDUR REHMAN,2
ABDURAHIM,30
ABDURAHMAN,184
ABDURAHMON,4
ABDURAKHIM,4
ABDURAKHMAN,9
ABDURAKHMON,8
ABDURASHID,7
ABDURASSUL,2
ABDURASUL,3
ABDURAUF,4
ABDURAZAK,9
ABDURAZAQ,2
ABDUREHMAN,6
ABDURESHID,2
ABDUREZAK,9
ABDURHMAN,4
ABDUROHMAN,2
ABDURRAHEEM,2
ABDURRAHIM,30
ABDURRAHMAAN,2
ABDURRAHMAN,125
ABDUR-RAHMAN,2
ABDURRAOUF,2
ABDURRAZAQ,3
ABDUS,13
ABDUSAID,4
ABDUSALAAM,3
ABDUSALAM,21
ABDUSAMAD,4
ABDUSELAM,29
ABDUSEMED,2
ABDUSHUKUR,2
ABDUSLAM,3
ABDUSSALAM,7
ABDUSSAMED,2
ABDUWAHAB,4
ABDUWAHID,3
ABDUWALI,6
ABDYL,2
ABDYLAZIZ,2
ABDÜLAZIZ,2
ABDÜLHAMID,2
ABDÜLKADIR,10
ABDÜLKERIM,3
ABDÜLMECIT,3
ABDÜLVAHIT,2
ABE,5
ABEAL,2
ABEBAW,3
ABEBAYEHU,2
ABEBE,27
ABED,317
ABED ALRAHMAN,6
ABEDA,2
ABEDALAZIZ,4
ABEDALFATAH,2
ABEDALI,2
ABEDALKADER,2
ABEDALLAH,8
ABEDALMASIH,2
ABEDALRAHMAN,11
ABEDALSALAM,2
ABEDDIN,2
ABEDE,2
ABEDELRAHMAN,4
ABEDI,2
ABEDIN,68
ABEDOM,4
ABEDRAHMAN,2
ABEDULLAH,4
ABEER,13
ABEIL,4
ABEL,597
ÁBEL,12
ABEL ABRAHAM,2
ABELARDO,8
ABELE,3
ABELL,3
ABENAZER,4
ABENET,3
ABENEZER,18
ABENOB,3
ABENZER,2
ABERA,7
ABERHAM,2
ABERON,2
ABERRA,3
ABESALOM,2
ABESELOM,3
ABEY,3
ABGAR,25
ABHAR,2
ABHAY,29
ABHI,5
ABHIJAT,2
ABHIJEET,25
ABHIJIT,26
ABHIJITH,13
ABHIJOT,2
ABHIK,2
ABHILASH,28
ABHIMANYU,17
ABHINANDAN,8
ABHINASH,2
ABHINAV,55
ABHINAY,6
ABHIRAJ,2
ABHIRAM,16
ABHIROOP,3
ABHISEK,5
ABHISHEK,157
ABI,16
ABIB,7
ABIBAKAR,3
ABID,115
ABIDAL,2
ABIDEMI,2
ABIDIN,25
ABIDUR,2
ABIEL,111
ABIESELOM,2
ABIIB,3
ABIL,4
ABILASH,3
ABILIO,3
ABIM,4
ABIMAEL,4
ABIMBOLA,3
ABIN,8
ABINABI,6
ABINASH,8
ABINAYAN,2
ABINER,6
ABINEZER,5
ABIODUN,8
ABIOLA,2
ABIR,27
ABIRU,2
ABISELOM,2
ABISH,3
ABISHAN,2
ABISHEK,8
ABISOLOM,4
ABIT,15
ABIY,15
ABIYEL,2
ABIZER,2
ABJAR,21
ABKAR,5
ABKER,2
ABLAHAD,20
ABLAI,2
ABLAYE,3
ABLEL,9
ABLELOM,10
ABLIE,6
ABLIKIM,2
ABNER,17
ABNET,4
ABO,18
ABOALFADEL,2
ABOBAKAR,3
ABOBAKER,20
ABOBAKIR,5
ABOBAKR,19
ABOD,21
ABODE,2
ABODI,6
ABODY,2
ABOKAR,8
ABOKOR,19
ABOL,5
ABOLADE,2
ABOLAJI,2
ABOLFAZAL,2
ABOLFAZEL,5
ABOLFAZI,8
ABOLFAZL,171
ABOLGASEM,3
ABOLGHASEM,25
ABOLGHASSEM,7
ABOLHASSAN,6
ABONOB,2
ABOOBAKR,2
ABOOD,13
ABOOZAR,4
ABOTALEB,2
ABOU,22
ABOU BAKR,3
ABOUBACAR,27
ABOUBACARR,3
ABOUBAKAR,11
ABOUBAKER,14
ABOUBAKR,14
ABOUD,77
ABOUDOU,2
ABOULFAZL,6
ABOULGHASEM,4
