Tilltalsnamn,Antal bärare
ALIMAA,3
ALIMAH,5
ALIMAR,8
ALIMATA,2
ALIMATOU,8
ALIMATU,2
ALIME,6
ALIN,229
ALINA,2815
ALINA-ALEXANDRA,2
ALINA-CRISTINA,2
ALINA-DORIANA,2
ALINA-GEORGIANA,2
ALINAH,10
ALINA-IOANA,3
ALINA-MARIA,6
ALINA-MIHAELA,4
ALINA-OANA,2
ALINDA,31
ALINDE,56
ALINE,542
ALINEA,4
ALINI,2
ALINIA,2
ALINIE,2
ALINN,10
ALINNA,2
ALINNE,25
ALINSON,2
ALINTA,2
ALIONA,38
ALIRA,3
ALIS,39
ALISA,843
ALISAR,71
ALISARA,3
ALISE,103
ALISHA,184
ALISHAH,4
ALISHAY,2
ALISHBA,27
ALISHIA,7
ALISIA,118
ALISIJA,8
ALISJA,2
ALISON,166
ALISRA,2
ALISS,10
ALISSA,555
ALISSAR,27
ALISSE,2
ALISSIA,10
ALISSON,14
ALISYA,6
ALITA,35
ALIUSKA,2
ALIVIA,48
